ra,dec,z_spec,z_err,obj_class,survey,reference
243.23226929,54.7013779,0.148903,1.7e-05,,MMT/Hectospec,Cheng+2021
242.71468163,54.0884857,0.392588,1.7e-05,,MMT/Hectospec,Cheng+2021
242.38640785,53.9908257,0.206932,1.7e-05,,MMT/Hectospec,Cheng+2021
242.90084839,54.7061844,0.266908,1.7e-05,,MMT/Hectospec,Cheng+2021
242.47112274,54.6700897,0.161962,1.7e-05,,MMT/Hectospec,Cheng+2021
242.2598362,54.0341759,0.260582,1.7e-05,,MMT/Hectospec,Cheng+2021
242.08585739,54.801754,0.126143,1.7e-05,,MMT/Hectospec,Cheng+2021
242.15103149,54.7840347,0.126382,1.7e-05,,MMT/Hectospec,Cheng+2021
242.56859779,53.9618607,0.1641,1.8e-05,,MMT/Hectospec,Cheng+2021
242.86906242,54.0330048,0.157708,1.8e-05,,MMT/Hectospec,Cheng+2021
242.3496151,54.8332672,0.33064,1.8e-05,,MMT/Hectospec,Cheng+2021
242.59048462,54.7203789,0.21374,1.8e-05,,MMT/Hectospec,Cheng+2021
242.6995182,54.7874184,0.287051,1.8e-05,,MMT/Hectospec,Cheng+2021
243.13407898,54.7013397,0.26951,1.8e-05,,MMT/Hectospec,Cheng+2021
241.7566967,54.5206146,0.275909,1.8e-05,,MMT/Hectospec,Cheng+2021
241.95905685,54.5972061,0.213109,1.8e-05,,MMT/Hectospec,Cheng+2021
242.57572174,54.0314217,0.264343,1.8e-05,,MMT/Hectospec,Cheng+2021
242.10548401,54.3944511,0.262795,1.8e-05,,MMT/Hectospec,Cheng+2021
242.71099091,54.5754318,0.152963,1.8e-05,,MMT/Hectospec,Cheng+2021
242.85967827,54.7723083,0.064232,1.8e-05,,MMT/Hectospec,Cheng+2021
242.53973007,54.7792778,0.083317,1.8e-05,,MMT/Hectospec,Cheng+2021
242.79378891,54.6827927,0.386634,1.8e-05,,MMT/Hectospec,Cheng+2021
243.14626694,54.6474953,0.219453,1.8e-05,,MMT/Hectospec,Cheng+2021
242.01968193,54.2390976,0.473097,1.8e-05,,MMT/Hectospec,Cheng+2021
242.30501175,54.8126602,0.286295,1.8e-05,,MMT/Hectospec,Cheng+2021
242.93621063,54.4199715,0.189671,1.8e-05,,MMT/Hectospec,Cheng+2021
242.03527451,54.5033875,0.235995,1.8e-05,,MMT/Hectospec,Cheng+2021
243.24751854,54.2303352,0.23182,1.9e-05,,MMT/Hectospec,Cheng+2021
243.2034874,54.708683,0.25111,1.9e-05,,MMT/Hectospec,Cheng+2021
242.10296631,54.0227547,0.355977,1.9e-05,,MMT/Hectospec,Cheng+2021
241.92564011,54.2752838,0.172943,1.9e-05,,MMT/Hectospec,Cheng+2021
241.98114395,54.4003372,0.262876,1.9e-05,,MMT/Hectospec,Cheng+2021
241.79829597,54.5740471,0.27601,1.9e-05,,MMT/Hectospec,Cheng+2021
242.86754608,54.6726532,0.385472,1.9e-05,,MMT/Hectospec,Cheng+2021
242.37665176,54.2581673,0.190964,1.9e-05,,MMT/Hectospec,Cheng+2021
242.17683792,54.0664711,0.328034,1.9e-05,,MMT/Hectospec,Cheng+2021
241.97290421,54.695446,0.187748,1.9e-05,,MMT/Hectospec,Cheng+2021
242.38858223,54.7567825,0.237092,1.9e-05,,MMT/Hectospec,Cheng+2021
243.0183506,54.8095589,0.064462,1.9e-05,,MMT/Hectospec,Cheng+2021
243.1990242,54.3828812,0.316116,1.9e-05,,MMT/Hectospec,Cheng+2021
242.84442902,54.040451,0.338049,1.9e-05,,MMT/Hectospec,Cheng+2021
242.66332626,54.0197563,0.30656,1.9e-05,,MMT/Hectospec,Cheng+2021
242.22702026,54.2038651,0.263819,1.9e-05,,MMT/Hectospec,Cheng+2021
243.25209618,54.503685,0.064641,1.9e-05,,MMT/Hectospec,Cheng+2021
243.06547165,54.701252,0.211996,1.9e-05,,MMT/Hectospec,Cheng+2021
242.3898983,54.8600235,0.234875,1.9e-05,,MMT/Hectospec,Cheng+2021
242.86594391,53.9964218,0.307439,1.9e-05,,MMT/Hectospec,Cheng+2021
242.35919952,54.7535782,0.235149,1.9e-05,,MMT/Hectospec,Cheng+2021
242.05924988,54.3565941,0.390624,1.9e-05,,MMT/Hectospec,Cheng+2021
243.12781334,54.5827789,0.189151,2e-05,,MMT/Hectospec,Cheng+2021
242.28398323,53.9970932,0.265832,2e-05,,MMT/Hectospec,Cheng+2021
241.86667442,54.3233719,0.328311,2e-05,,MMT/Hectospec,Cheng+2021
242.60387421,54.6944771,0.086984,2e-05,,MMT/Hectospec,Cheng+2021
242.65520096,54.2351723,0.388426,2e-05,,MMT/Hectospec,Cheng+2021
242.8264904,53.9907494,0.329164,2e-05,,MMT/Hectospec,Cheng+2021
241.77157402,54.2579384,0.145863,2e-05,,MMT/Hectospec,Cheng+2021
242.34060287,54.3676567,0.376032,2e-05,,MMT/Hectospec,Cheng+2021
242.41833687,54.6425552,0.262822,2e-05,,MMT/Hectospec,Cheng+2021
242.0187664,54.5096588,0.23567,2e-05,,MMT/Hectospec,Cheng+2021
242.84485817,54.6275864,0.125931,2e-05,,MMT/Hectospec,Cheng+2021
242.48848915,54.4447098,0.267914,2e-05,,MMT/Hectospec,Cheng+2021
242.89197922,54.7905045,0.401584,2e-05,,MMT/Hectospec,Cheng+2021
243.11648369,54.6350517,0.235838,2e-05,,MMT/Hectospec,Cheng+2021
243.15713882,54.232151,0.268026,2e-05,,MMT/Hectospec,Cheng+2021
243.07631493,54.5610199,0.311785,2e-05,,MMT/Hectospec,Cheng+2021
243.28004837,54.2914963,0.243808,2e-05,,MMT/Hectospec,Cheng+2021
242.28790283,54.2175598,0.237624,2e-05,,MMT/Hectospec,Cheng+2021
242.36406326,54.4237137,0.233666,2e-05,,MMT/Hectospec,Cheng+2021
242.48173714,54.4425926,0.266966,2e-05,,MMT/Hectospec,Cheng+2021
243.08707237,54.6642418,0.218018,2e-05,,MMT/Hectospec,Cheng+2021
242.95646667,54.3474197,0.218979,2e-05,,MMT/Hectospec,Cheng+2021
242.44036674,54.1718369,0.329195,2e-05,,MMT/Hectospec,Cheng+2021
242.14193344,54.0636826,0.233806,2e-05,,MMT/Hectospec,Cheng+2021
242.75939941,54.706974,0.266599,2e-05,,MMT/Hectospec,Cheng+2021
242.0987606,54.1971931,0.294537,2e-05,,MMT/Hectospec,Cheng+2021
243.15793991,54.3186226,0.314363,2e-05,,MMT/Hectospec,Cheng+2021
242.78815269,54.6410522,0.385072,2.1e-05,,MMT/Hectospec,Cheng+2021
243.06295395,54.7258835,0.335079,2.1e-05,,MMT/Hectospec,Cheng+2021
242.96087265,54.1485596,0.334928,2.1e-05,,MMT/Hectospec,Cheng+2021
242.41928101,54.1635857,0.266885,2.1e-05,,MMT/Hectospec,Cheng+2021
241.75718307,54.5214691,0.275277,2.1e-05,,MMT/Hectospec,Cheng+2021
242.23142624,54.6691742,0.235281,2.1e-05,,MMT/Hectospec,Cheng+2021
242.31259346,54.7425423,0.126123,2.1e-05,,MMT/Hectospec,Cheng+2021
242.11112022,54.7863235,0.127834,2.1e-05,,MMT/Hectospec,Cheng+2021
242.90966034,54.6668472,0.510511,2.1e-05,,MMT/Hectospec,Cheng+2021
242.41184235,54.2058144,0.345219,2.1e-05,,MMT/Hectospec,Cheng+2021
242.23093987,54.6612663,0.216092,2.1e-05,,MMT/Hectospec,Cheng+2021
